f_hz,G_rigid_dB,G_floor_dB
3.000000000000000000e+02,2.185790168278607837e+01,1.739465871126614971e+01
3.364750826258786560e+02,1.854708397243991769e+01,1.801332441009837737e+01
3.773849374269727832e+02,1.854317218690422919e+01,2.158681148101124592e+01
4.232687600083418147e+02,2.136276494531156089e+01,2.128257999610481477e+01
4.747313033225332219e+02,2.215578000357937327e+01,1.689217304126903230e+01
5.324508483684678595e+02,1.819299779051385002e+01,1.583034812322626728e+01
5.971881439966645075e+02,1.674805805322415964e+01,1.737367823316180804e+01
6.697964336482418730e+02,1.736472478127513952e+01,1.658846157937957599e+01
7.512327011810364183e+02,1.622319563013871857e+01,1.591406483589091359e+01
8.425702840038372869e+02,1.573059955060245763e+01,1.702905529202542922e+01
9.450130197610036475e+02,1.676275876671112997e+01,1.459074272787959536e+01
1.059911113022048994e+03,1.410737210031151534e+01,1.743180066537369655e+01
1.188778931100602676e+03,1.549599765664774154e+01,1.515739840074152056e+01
1.333314963553261578e+03,1.507310318177314024e+01,1.712242407505251052e+01
1.495424208426346240e+03,1.513605742532712028e+01,1.551639086673960932e+01
1.677243280303312986e+03,1.447986443178898952e+01,1.450435021083952947e+01
1.881168571079187359e+03,1.366024211972967350e+01,1.022297808899909732e+01
2.109887834623584695e+03,1.228823974924835483e+01,1.031808908595080787e+01
2.366415611621022435e+03,1.207303358399583360e+01,7.684024150897780459e+00
2.654132961491174683e+03,1.066558940748097939e+01,8.765371177584288631e+00
2.976832025059368789e+03,1.122775811310369676e+01,6.900992066019540516e+00
3.338766005317374947e+03,1.087354092830755903e+01,6.592486291051827152e+00
3.744705225025456457e+03,1.066258735968073346e+01,5.590591634801393539e+00
4.200000000000000000e+03,9.693570474461902009e+00,3.642757119793936793e-01
