rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,DI14_dB,refl,vol_L,print_pen
9.000000000000000000e+00,1.550000000000000000e+02,3.792018539248454090e+02,2.534209164325898378e+00,-2.369860143243307862e-02,6.218980000827674104e-01,2.708442942504076711e+01,1.200320416544669477e+01,3.486432671616150891e-01,7.146439381724589701e-01,2.270858467089175381e+00
1.772559265147150143e+01,6.000000000000000000e+01,1.200000000000000000e+02,1.540329551201927050e+00,-6.783067435255604738e-02,2.430570591523764090e-01,1.336972827156261090e+01,4.433980049439521842e+00,4.943887497587789448e-01,1.390170628294240818e-01,1.085714285714285632e+00
9.000000000000000000e+00,1.550000000000000000e+02,5.346429763432051914e+02,2.534825565378464152e+00,-9.394390185879248484e-03,5.666230070918257811e-01,2.820127223078821999e+01,1.200320416544669477e+01,2.255182084261093400e-01,9.319006526083365438e-01,2.381887840245146659e+00
2.726226352781951334e+01,1.550000000000000000e+02,5.800000000000000000e+02,2.386392133745865785e+00,-3.181480494948492332e-02,7.967669940935526718e-01,1.851240066640534110e+01,1.200320416544669477e+01,9.697757040994332833e-02,1.244002777673872018e+00,3.414285714285714590e+00
2.704212614961602412e+01,1.550000000000000000e+02,5.800000000000000000e+02,1.714788405499050983e+00,-2.955821887363754494e-02,7.996022275421577064e-01,1.856398905986631576e+01,1.200320416544669477e+01,1.554291251873261837e-01,1.397630439135782776e+00,3.414285714285714590e+00
1.002267032563986149e+01,1.155265106288594694e+02,1.200000000000000000e+02,6.287199849151081654e-01,1.493591034803966600e-01,5.867642334503276880e-01,1.080533476380918145e+01,9.394044019005377777e+00,9.204178387435487663e-01,3.844572994261885590e-01,1.085714285714285632e+00
2.329381774526500948e+01,1.543695296874880967e+02,5.800000000000000000e+02,2.400358037922556864e+00,-3.534481067897266016e-02,8.000000000000000444e-01,1.990882503704159845e+01,1.196703946317586897e+01,1.034510818196137799e-01,1.188293017848586652e+00,3.414285714285714590e+00
1.492961848569821726e+01,6.000000000000000000e+01,1.200000000000000000e+02,1.677423305519102570e+00,-1.201472794596532140e-01,2.000000000000000111e-01,1.472226474439721322e+01,4.433980049439521842e+00,6.065713253867425214e-01,1.301490897945913883e-01,1.085714285714285632e+00
1.940375378086566016e+01,1.233783017931562256e+02,1.200000000000000000e+02,5.149002177701852423e-01,2.035874159687392770e-01,7.132502171194042839e-01,9.674770217144265771e+00,9.966894941353302784e+00,8.207499158732934896e-01,4.622839477167923206e-01,1.085714285714285632e+00
1.321875496876231004e+01,1.143519357921337587e+02,2.494658979734959416e+02,2.719434049553865584e+00,3.535257809432099801e-02,5.235835462274813779e-01,2.089250782824336383e+01,9.306726752168460237e+00,4.400326352886212988e-01,3.915118305816271405e-01,1.178189927123925784e+00
1.841321072631574651e+01,1.468464751048134360e+02,5.356133914427323361e+02,3.206120013244373901e+00,-5.695369207754726049e-02,7.241378473212397582e-01,2.168790716118145312e+01,1.152552315029878649e+01,1.667785582948608791e-01,8.919567293173062961e-01,2.382580993887665866e+00
