rt,rm,L,k,H0,H1,r1,ffold,G_dB,refl,Pcost,fc_Hz
2.368919205117998317e+01,1.230000000000000000e+02,4.428002410311964923e+02,1.764507581923336066e-01,8.605884219905382793e+01,2.502939964103171917e+02,3.337052079653427938e+01,8.003811661333802840e-01,1.684248878036438057e+01,1.669329074038562732e-01,2.757208558838164514e+00,2.030689977624659548e+02
1.692433256173536904e+01,1.230000000000000000e+02,8.433924638859930383e+02,1.088859563122728663e-01,1.025329114068135112e+02,2.249388451591383671e+02,4.746445271120166609e+01,6.851214309314587192e-01,1.854094604842458693e+01,3.527196319786164991e-01,3.600002868763851005e+00,1.283813225285089459e+02
2.396162717545231402e+01,1.211857838451349920e+02,8.829215781214081744e+02,1.075873903450988989e-01,9.338711806843993202e+01,2.461659040222697570e+02,4.532270008035377629e+01,6.729695624361540229e-01,1.754110083035513057e+01,2.050013357052722640e-01,3.813079321411357192e+00,1.002168150907115773e+02
1.382794670863541242e+01,5.000000000000000000e+01,3.000000000000000000e+02,2.221137728546281331e-01,4.000000000000000000e+01,8.000000000000000000e+01,3.361951905977064570e+01,9.000000000000000222e-01,1.212510027323144968e+01,5.008249044165077324e-01,2.008539504097210493e+00,2.338880823037982566e+02
1.300000000000000000e+01,7.443615611361714457e+01,3.000000000000000000e+02,2.223927480774408882e-01,4.000000000000000000e+01,8.749606034798271992e+01,3.237306699137290877e+01,8.477207493620761980e-01,1.448668863352560976e+01,5.444642426548180758e-01,2.089516771570250064e+00,3.175313030730192736e+02
1.746317287525113926e+01,5.000000000000000000e+01,3.000000000000000000e+02,2.413714450798928324e-01,4.055256299842164225e+01,8.000000000000000000e+01,3.381179723625559319e+01,8.327858765916419381e-01,1.208615016306823797e+01,4.681021508412847587e-01,2.032599801028900810e+00,1.914164781440969421e+02
2.271984917002096793e+01,8.212661332711229534e+01,3.000000000000000000e+02,1.747953939328265038e-01,9.394346387943085119e+01,1.136288572827653951e+02,3.221047613790508990e+01,7.837481204990380812e-01,1.498488049854705295e+01,3.104614912483495970e-01,2.224868908594963113e+00,2.338320052954598225e+02
2.327061200303258559e+01,1.230000000000000000e+02,4.424642316484286653e+02,1.522817458695705783e-01,8.690555266772344112e+01,2.575951869942935559e+02,3.479789551875533249e+01,7.937173072020425879e-01,1.687897206664511529e+01,1.685280776512655121e-01,2.763192818040214771e+00,2.054227389878351744e+02
2.325469433266852803e+01,1.230000000000000000e+02,5.619170865581502312e+02,1.945705444928865213e-01,1.037478023290293976e+02,2.753021025683119092e+02,2.674973310105482582e+01,7.534474339643252305e-01,1.703882510144456930e+01,1.959758161654668873e-01,3.115443421020178683e+00,1.618202584014912020e+02
2.418068479681195271e+01,1.211745484496075420e+02,8.394020688575430995e+02,1.075360045664231212e-01,9.353749349968062177e+01,2.466232648957253843e+02,4.519662860859428832e+01,6.594384755195800141e-01,1.787652886062956625e+01,2.204392979107514527e-01,3.713715802913345243e+00,1.048147648562300844e+02
1.346738746773358564e+01,1.212059594028320220e+02,7.921489473744165934e+02,1.150270934508422910e-01,6.774839791777721132e+01,1.436764041678707997e+02,4.305374215823721329e+01,6.614845503215589506e-01,1.804061844421156025e+01,3.967039600957413814e-01,3.199353666780548444e+00,1.514192147935136745e+02
1.670250723728646136e+01,1.230000000000000000e+02,7.886377638052023258e+02,1.111337915615889099e-01,8.941041332661325214e+01,2.289101660772285527e+02,4.603879255434005557e+01,6.683131854351389567e-01,1.823316477232562249e+01,2.862984345254742102e-01,3.440794991141463477e+00,1.382080369985013704e+02
1.626670651084959474e+01,1.132305745776147461e+02,6.019887748127578107e+02,1.453559984467557575e-01,9.526557865055416130e+01,1.264308825515837498e+02,4.329906793103122453e+01,6.356906737435031873e-01,1.733345587810595134e+01,3.235378942316885498e-01,2.886916304631630403e+00,1.759527379126297433e+02
2.366783803053385427e+01,1.158014093398066962e+02,4.398052672812397645e+02,1.780121564368992160e-01,8.613211486977023412e+01,2.537743304941715792e+02,3.334605941286251607e+01,8.012444764558636079e-01,1.672941541596261672e+01,1.844001824506702747e-01,2.730088827945128749e+00,1.970782001840007922e+02
2.116047512767619665e+01,8.429407974279112636e+01,3.000000000000000000e+02,2.129285036616857807e-01,4.000000000000000000e+01,1.231779846665673972e+02,3.302798511182845687e+01,8.374328350220333617e-01,1.525294770389422183e+01,3.197013326663572519e-01,2.189162791542977438e+00,2.515107340573315753e+02
1.306383965967659577e+01,6.779973756657906847e+01,3.000000000000000000e+02,1.967720443057639768e-01,4.554464087759757263e+01,8.637824808269058963e+01,3.285440038333151591e+01,8.664780974579044948e-01,1.400112315368289373e+01,5.379288280498480956e-01,2.069429866450744893e+00,2.996471722673362024e+02
1.668057730475674916e+01,7.039606984686260205e+01,3.000371749050221410e+02,2.425751255828652309e-01,4.094772922152657202e+01,1.180420605929194835e+02,2.867198136311472467e+01,8.314878668693780339e-01,1.440887512663894299e+01,4.235115262266171410e-01,2.107002818527962784e+00,2.619806601649958111e+02
1.618677860934394630e+01,1.082333500028299511e+02,5.958466073816986182e+02,1.571899859278317879e-01,9.541202176140649271e+01,1.192516342499355346e+02,4.331369211347794845e+01,6.379397983141299466e-01,1.712282682355036911e+01,3.299776569647208668e-01,2.841258715798595791e+00,1.740824713478217802e+02
