V1,V2,V3,V4,a1,a2,a3,a4,L_n,slot,cents,ring_err,neg_level
5.076915810025757878e+02,1.829133054531193352e+02,2.410150592366350679e+02,1.182067630103008753e+02,8.294904584146811644e+00,1.467954613649951767e+01,1.409556274546230625e+01,1.577398808939061681e+01,3.543628862409711644e+01,4.000000000000000000e+00,1.475389715717986974e+03,8.888888888888854534e-02,-3.121183508989449962e+01
6.260570502450673303e+02,2.072528769744721728e+02,1.887920711859064795e+02,1.124452695793873716e+02,5.505139726740652328e+00,1.094269909503873883e+01,1.487505850780027572e+01,1.442356961756509293e+01,3.483785224261274749e+01,4.000000000000000000e+00,6.160425371972459985e+00,7.407407407407404776e-01,-3.919316429304951299e+01
4.377229576595423737e+02,3.388768392179123339e+02,1.942554771066795354e+02,1.260910570150543464e+02,7.478520066342928985e+00,1.454786017520346242e+01,1.527566286032989140e+01,1.488436695513191488e+01,3.178806437125145834e+01,4.000634837595560711e+00,7.175400580690804873e+02,1.499999999999995781e-01,-3.019297543554228369e+01
6.770930513602387464e+02,2.083045521128228756e+02,1.348749847930911585e+02,1.023203235734372782e+02,1.600000000000000000e+01,7.664720449140366654e+00,1.069312118754974250e+01,1.213298938532288496e+01,2.619114524719352133e+01,9.428886711298767764e+00,4.584777690370628278e+01,1.852564102564102422e+00,-4.246746805756576748e+01
4.897850468787144678e+02,2.333694379221220174e+02,1.991596670704390135e+02,1.432053313000108687e+02,9.359599489887157731e+00,1.348384671134599166e+01,1.403762754389248180e+01,1.564452346566151064e+01,3.130539726795685951e+01,4.000000000000000000e+00,7.482771972144163328e+02,1.499999999999992173e-01,-3.149420495660228880e+01
5.356270031772337461e+02,2.211179754237844577e+02,1.819360224856049797e+02,1.226543975217224158e+02,8.107133947430298804e+00,1.336988435615332449e+01,1.600000000000000000e+01,1.414426695705524040e+01,3.013640352708474168e+01,4.000000000000000000e+00,1.116134554391309848e+03,2.039215686274505890e-01,-3.191152120566231787e+01
6.864043310390933357e+02,2.668052603763742923e+02,1.372049205340894957e+02,1.026975093108751764e+02,1.568030635532768891e+01,9.876379201444860811e+00,1.070616644865181932e+01,1.240793170995516448e+01,2.755242772244100635e+01,8.962524400357940735e+00,4.333527373574204375e+02,1.153762838468720409e+00,-4.093474221900146404e+01
6.212719622365300438e+02,2.112351837105540824e+02,1.908641837230182716e+02,1.129709367114245140e+02,5.881829935904088202e+00,1.099204371716936457e+01,1.491036102790925888e+01,1.441704766674970628e+01,3.503213983028592793e+01,4.000000000000000000e+00,2.245735805412313013e+01,7.946623093681912664e-01,-3.992558137224661152e+01
4.947695203283820433e+02,1.764423651235637749e+02,1.815382873349191755e+02,1.218994816359816014e+02,7.999972354080381542e+00,1.352406847853454863e+01,1.582923888961198777e+01,1.421506023160718790e+01,2.993028291628378312e+01,4.022314020677485225e+00,1.254267174332276909e+03,2.039215686274505890e-01,-3.398817518008817018e+01
5.077082861301208254e+02,1.853348511905147120e+02,2.370741436232143542e+02,1.181316606817004384e+02,8.358570219681356051e+00,1.465838587225868928e+01,1.404760335465134524e+01,1.582063896366846834e+01,3.544017717541674273e+01,4.000000000000000000e+00,1.461178606525742680e+03,1.499999999999992450e-01,-3.194635091969918861e+01
5.182208401333489292e+02,3.401359311902261311e+02,1.971118940281236576e+02,1.172186090922507731e+02,8.344219143108983161e+00,1.428014714676681862e+01,1.470151872843047869e+01,1.461336372213455448e+01,3.663425156807299743e+01,4.000000000000000000e+00,1.437120812807534094e+02,4.611111111111103611e-01,-3.702028855682992514e+01
6.522929029340807574e+02,2.067088574288910365e+02,1.229496844015016848e+02,9.733695633068917630e+01,1.557935236666855516e+01,9.549927025890408316e+00,1.058869603969516149e+01,1.231502219814921517e+01,2.933768680454714328e+01,9.356739614378600578e+00,2.531375182054646586e+02,1.442318840579709827e+00,-4.103295261223679802e+01
