rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost
2.651356628487155120e+01,1.550000000000000000e+02,5.800000000000000000e+02,2.360493433163875387e+00,1.102027724671587189e-02,6.838703428121765127e-01,1.835376158150236137e+01,9.577939721444035659e-02,3.251241950170836503e+00
1.300000000000000000e+01,1.550000000000000000e+02,5.371289345843620140e+02,2.107784290633227808e+00,-1.650484454977353341e-02,4.241741708747387984e-01,2.348944304271861938e+01,1.980492778984325464e-01,2.059646467091816646e+00
2.643458243168583977e+01,1.550000000000000000e+02,5.795548491182275939e+02,2.342382820385693343e+00,1.122664833635370583e-02,6.874991260463503284e-01,1.838208955030431468e+01,9.601569488682100417e-02,3.252866828623343309e+00
1.300000000000000000e+01,6.000249633641405467e+01,1.200000000000000000e+02,4.000000000000000000e+00,-2.278621375721554820e-01,6.822133325562241835e-01,1.053743933571413294e+01,8.590052315386063064e-01,1.035471471007024524e-01
1.723813832007517988e+01,6.702673262340503868e+01,2.540860582273064949e+02,2.781164589503466011e+00,-1.596733206275903830e-02,5.469836994479742032e-01,1.504699376404566635e+01,3.703872857425181131e-01,1.253517875059868558e+00
1.390336863269691925e+01,1.550000000000000000e+02,2.499090581458694373e+02,2.127715047021118355e+00,-1.943039581017384429e-02,6.996332470072639254e-01,2.106317255431137525e+01,4.414166770078020718e-01,6.052024171681040787e-01
2.909679127503762430e+01,1.550000000000000000e+02,5.303378715189481909e+02,2.109296885673453303e+00,5.558598278370869422e-03,7.352756754923677196e-01,1.773869435620418855e+01,1.050246188098039601e-01,2.226589898308493964e+00
1.300000000000000000e+01,1.316152868597179406e+02,5.561727244642810319e+02,2.880766372326305280e+00,-3.220039632021112590e-03,3.669926209194961375e-01,2.220787294234810361e+01,1.722865717881657821e-01,2.816908610961089465e+00
1.340103537183643034e+01,6.000076631909575298e+01,1.227820548326366747e+02,3.377511082922052044e+00,-2.572786726055336648e-01,6.796453315301642650e-01,1.127530094657596216e+01,8.244574124568556650e-01,1.088666537532184120e-01
1.300000000000000000e+01,6.041579647394327424e+01,1.394830818830390626e+02,3.512834484633785781e+00,-2.826027356242112321e-01,7.938298909306223949e-01,1.301471450982273659e+01,7.074079647954234495e-01,1.190002408651764237e-01
1.315829492156475133e+01,8.833457281622021640e+01,2.478299382903877301e+02,3.668027266579706236e+00,-2.979588582004767394e-01,8.000000000000000444e-01,1.661692937925901603e+01,6.269079884990965690e-01,2.563725245358224325e-01
1.501911122711042168e+01,6.015863140551351762e+01,1.236335390558186731e+02,4.000000000000000000e+00,-2.169002389064380310e-01,7.651036075384315405e-01,1.223410315455528696e+01,7.373031347208321984e-01,1.123645146544580281e-01
1.338282676138846838e+01,6.000000000000000000e+01,1.233657777142697114e+02,3.404904156263666160e+00,-2.597056860504267095e-01,6.830028176714887378e-01,1.129023608949952795e+01,8.254844699016978815e-01,1.090086886714196623e-01
1.483420302992744588e+01,1.221398900012694781e+02,2.296098753413708664e+02,1.687089096315670389e+00,-2.757894485764989662e-02,5.151413354641063425e-01,1.887649091892415854e+01,4.307245763523632198e-01,4.583505485642964672e-01
1.307433226597923870e+01,1.550000000000000000e+02,5.425201075612025079e+02,2.754312418127208506e+00,-4.124742423570693095e-03,4.869496950391464241e-01,2.335353496885541347e+01,1.772091370255670650e-01,2.957363916415736593e+00
1.300000000000000000e+01,1.086732513234816082e+02,3.086143337200720111e+02,1.730241974623842882e+00,-1.019339985873969207e-01,6.407886588178174359e-01,1.982411956475685599e+01,3.660108247961956773e-01,1.489681896544117645e+00
1.300000000000000000e+01,6.054440541100342443e+01,1.274756741672104283e+02,4.000000000000000000e+00,-2.155639519790155667e-01,7.623863626816017591e-01,1.261306206769592642e+01,7.646167248650863613e-01,1.098566196359408997e-01
1.344570673656387783e+01,6.366992974387895998e+01,1.749104608357795883e+02,3.303693872959198696e+00,-1.120278116281120256e-01,7.495532178190491557e-01,1.445604632396292288e+01,5.386110071396353893e-01,1.528391162658214730e-01
2.041270259158956435e+01,1.485340921869946555e+02,5.538688372631444281e+02,2.157579211112933493e+00,-4.246491792963611248e-03,7.326384811303207067e-01,2.020575543772492466e+01,1.274037662917359426e-01,3.121564820795387440e+00
1.388077361386094388e+01,1.465640296040428439e+02,2.500467371827808449e+02,2.128833076519196954e+00,-2.170906165182176148e-02,6.502811494756575161e-01,2.074277995198730906e+01,4.279688870734570938e-01,1.562329487389653604e+00
