re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,step_ratio
1.869546593551343250e+01,2.607521807222189736e+01,1.952033339022385405e+01,6.000000000000000000e+01,1.200000000000000000e+02,3.840379344644004878e+00,-4.638115530800488578e-03,4.374990331412419442e-01,1.124959221652196639e+01,5.645262709108783694e-01,1.621258685799582544e-01,1.090189199032742584e+00
1.798463098020499018e+01,2.570179041010075949e+01,2.217101286156605511e+01,1.550000000000000000e+02,4.384917242652875871e+02,2.021313078079579828e+00,9.019240878150376617e-02,7.810049062992204805e-01,2.034834220255841686e+01,3.469341279581041881e-01,2.043762643734849060e+00,1.519735489968342401e+00
2.000000000000000000e+01,3.110979634186221787e+01,2.053213137926834264e+01,1.457445881440548874e+02,5.800000000000000000e+02,2.234268962369638345e+00,-6.501746574988848115e-02,7.944585485443393935e-01,1.932341145736944554e+01,1.490578813763373534e-01,3.156087446279744135e+00,1.053921047438839409e+00
1.999801442687373054e+01,2.354659079377946185e+01,2.210083404177061084e+01,1.550000000000000000e+02,5.432652958494874156e+02,1.782521541525203368e+00,1.124940844678526744e-02,7.998426110731083893e-01,2.001461332029267837e+01,2.183254818028622923e-01,3.287549586275087421e+00,1.221359661208769154e+00
1.493808037701362501e+01,5.396921238825981249e+01,2.093668065889120555e+01,1.445134752745670710e+02,1.637895943978535627e+02,3.656623424388279808e+00,2.108421794950263717e-01,7.053863294499614911e-01,1.735522379432126883e+01,7.420235119786551259e-01,4.891692916786775647e-01,1.964382579346654056e+00
1.988333755617212972e+01,2.311677904554082019e+01,2.261512134096967586e+01,1.550000000000000000e+02,4.945769348093483018e+02,2.049720789477260663e+00,1.460623885615001255e-02,8.000000000000000444e-01,2.005923716683941294e+01,2.289707064588796248e-01,2.133761072017017035e+00,1.293657389318820350e+00
2.000000000000000000e+01,3.133274508430511318e+01,2.140786329342916972e+01,1.338481672814556589e+02,4.920826188960153331e+02,2.705099707831181810e+00,-5.188348129334768334e-03,7.483666660139187687e-01,1.855673768754009600e+01,1.902174154125019501e-01,2.893821567519782256e+00,1.145741526975379898e+00
1.877947014897348410e+01,1.215828883655977144e+01,2.147375784979918478e+01,1.550000000000000000e+02,2.122064479727293076e+02,1.774921865118124220e+00,1.455121207888836199e-01,7.605840791653459831e-01,1.874367892792651702e+01,5.072181865016028857e-01,6.475869561518493578e-01,1.307523290001006977e+00
1.628233587832200868e+01,3.450441731093282272e+01,1.807939576930909809e+01,6.000000000000000000e+01,2.434934088017251668e+02,2.299125774070698291e+00,-6.992884966229169497e-02,5.702279538868935127e-01,1.269614837196890633e+01,4.459997977561129812e-01,1.278574641688402513e+00,1.232918601812430737e+00
1.802506698757790815e+01,2.607520954881111663e+01,1.952636812896252749e+01,6.000000000000000000e+01,1.257993591874932804e+02,3.880245256326616765e+00,2.847567205179313277e-03,4.356297057963768316e-01,1.155721188302642588e+01,5.626813728573942797e-01,1.659341783148079175e-01,1.173516420213509770e+00
1.992665706276811122e+01,3.695167416514201619e+01,2.033063683351770123e+01,1.420380046864849248e+02,5.147165489820044968e+02,2.615237837541035226e+00,-6.582394101042708147e-03,7.399396534985555052e-01,1.896004389223552877e+01,1.704794932133240903e-01,2.976908205247991823e+00,1.040957675724599518e+00
2.000000000000000000e+01,2.945239967575167839e+01,2.054188136617479543e+01,1.458864952795086651e+02,5.719544219038716619e+02,2.220670840707074323e+00,-5.153526436362899921e-02,7.950610366023731501e-01,1.930389814729424813e+01,1.539111606934347176e-01,3.148032939695481591e+00,1.054922225154998117e+00
1.572062768170671987e+01,2.933645446644130317e+01,2.153720713483418336e+01,6.359107243182247515e+01,1.293824605177829881e+02,3.610597343509311496e+00,-3.912619960755713000e-02,3.853961149719568602e-01,1.193544109088215421e+01,6.315835642907594583e-01,1.812726571983394597e-01,1.876890799224389506e+00
1.539758550576619101e+01,5.426829232162516092e+01,2.079211276498205407e+01,1.170984646317535294e+02,1.650124729496298244e+02,3.833897840425205761e+00,1.497905125048929198e-01,6.910493229562052475e-01,1.617409984182366145e+01,6.659904334889523714e-01,3.736542205177675879e-01,1.823442171834346537e+00
1.888946721261239503e+01,1.174970688740807212e+01,1.919925059209858986e+01,1.550000000000000000e+02,2.014415165439477278e+02,1.772189329109697287e+00,1.458016800819977310e-01,7.604868447209521820e-01,1.848837697841709016e+01,5.317068202970083313e-01,6.212128864929772343e-01,1.033068542150397562e+00
1.734485430404525630e+01,3.299296580151840175e+01,1.851068816737011957e+01,7.143427110929403057e+01,2.332286930543366736e+02,2.204674290200540732e+00,-8.374618762204621980e-02,5.270013505360682249e-01,1.376740648632572395e+01,4.308814584548465998e-01,1.304502836937302401e+00,1.138947792391958869e+00
1.807856865372864164e+01,1.316528082008909806e+01,2.297379457749171294e+01,1.459507961656146904e+02,2.137281993926978600e+02,2.128452263191151328e+00,1.341252704355449521e-01,7.368868927179994532e-01,1.838846689733490436e+01,5.264138184587189295e-01,5.864367377222815536e-01,1.614869311015328934e+00
1.835416034546133801e+01,2.685791665970165809e+01,2.022308961323348697e+01,8.258661673675332793e+01,1.281077800217235279e+02,3.343249039004052126e+00,-4.919382351636585049e-02,5.070746219260315879e-01,1.319166826923513902e+01,6.132623214515864341e-01,2.194758107730803987e-01,1.214020358556309631e+00
1.861354106170129086e+01,2.782078365054191949e+01,2.163315129163636286e+01,6.692562356447649563e+01,1.275426179009948413e+02,3.711101690237771145e+00,-4.796427981185744788e-02,4.504757665534946942e-01,1.223763258883251837e+01,5.837146708102022297e-01,1.874818556393876845e-01,1.350770513589870658e+00
1.833441773049470669e+01,2.672854700702007946e+01,2.136014160971349796e+01,8.263176057273965114e+01,1.313022811404220533e+02,3.422024214369009609e+00,-4.984634237794129119e-02,5.054313316647356391e-01,1.341225146348097752e+01,6.077179651465075549e-01,2.249670843694187850e-01,1.357294255446636289e+00
1.998295403765766309e+01,3.133885053410963550e+01,2.137944857539996235e+01,1.550000000000000000e+02,4.841724452296988375e+02,2.701825446289798371e+00,-5.184050906979389972e-03,7.526127713740728975e-01,1.973759341142809731e+01,1.963138147237822595e-01,2.000837816491011889e+00,1.144652392138248764e+00
1.887788985387235385e+01,3.315199537205896974e+01,2.126895677389765282e+01,7.540724689618558330e+01,1.297556410129447215e+02,3.306395199507980109e+00,-4.245892743082636811e-02,4.523715535762419249e-01,1.301050780547038599e+01,5.731329170739735135e-01,2.116534496001461485e-01,1.269361966746578085e+00
2.000000000000000000e+01,3.131482147617366962e+01,2.150404750195045267e+01,1.416580618049282236e+02,4.434041950213916721e+02,2.062341062881983600e+00,-2.766528126483056016e-02,7.971112160388404977e-01,1.949101619364777704e+01,2.189200168580729133e-01,1.941543817550333895e+00,1.156060147415353567e+00
1.728143742412560968e+01,3.483901862789064552e+01,1.867554450600464477e+01,8.502818705162674462e+01,2.507489802171949123e+02,2.227470836304198620e+00,-1.264717295953162856e-03,5.088709947511654841e-01,1.530659131663079719e+01,3.764384593064273865e-01,1.371837437700818452e+00,1.167849340418061432e+00
2.000000000000000000e+01,3.133671595400171483e+01,2.141031952014791884e+01,1.324452054803448959e+02,4.579329332499260090e+02,2.690313705095792596e+00,-3.773263700108819667e-03,7.364995249498083041e-01,1.867139452864640958e+01,2.126797777010582813e-01,1.837087027601667311e+00,1.146004454887067370e+00
2.000000000000000000e+01,1.972931883303993317e+01,2.327172144433789214e+01,1.492953704892927078e+02,3.294333224456918856e+02,2.214059666816244665e+00,-3.528294666701211474e-02,7.763208260608625011e-01,1.961326896904195038e+01,3.141150546190185078e-01,1.772712506758662210e+00,1.353932547457140423e+00
2.000000000000000000e+01,1.990812158670700427e+01,2.345968596210643042e+01,1.550000000000000000e+02,3.309984852313727401e+02,2.214886096807093807e+00,-3.541606720235482286e-02,7.598473375921892536e-01,1.987403401703734218e+01,3.218157709720810833e-01,1.806145312252491753e+00,1.375892163601633911e+00
1.999800444691685541e+01,2.324915056132050850e+01,2.210237697654088862e+01,1.550000000000000000e+02,5.429517925726822796e+02,1.783150455643046195e+00,8.495776592812217740e-03,7.998319540040430553e-01,2.001303541569452094e+01,2.182253363036638083e-01,3.285880724579308243e+00,1.221531420951081248e+00
1.863627584936534021e+01,3.498695017964734433e+01,2.116293440257308589e+01,1.322401935427328965e+02,4.015413917684995795e+02,2.809420410572334159e+00,4.632124211459254237e-03,7.465372403605615714e-01,1.875484374536089049e+01,2.735724639953082682e-01,1.742657919171732406e+00,1.289536120094154414e+00
1.748784626709543844e+01,3.487426723580844623e+01,1.862030779288774696e+01,8.102195070423123013e+01,2.498904209733829589e+02,2.263483527096151526e+00,-1.206457994790508621e-03,5.059405140819760449e-01,1.496842103831583159e+01,3.682196688803096030e-01,1.356530809863527809e+00,1.133707598744220446e+00
1.724504540409702358e+01,3.418698949799698994e+01,1.839980839634419496e+01,8.387719446526287470e+01,3.150379933294180432e+02,2.450328065956631107e+00,-1.570307528952762793e-02,4.950290221395662327e-01,1.519845218196755177e+01,3.559808922655554042e-01,1.426206387165874334e+00,1.138407941851597549e+00
1.908614308075271637e+01,2.439881007316855133e+01,2.381731543270782581e+01,1.158763622536197886e+02,2.709206708143456126e+02,1.731517400844783783e+00,1.476139151318035247e-01,7.664765288618098360e-01,1.743534465775648457e+01,4.159419860008334857e-01,1.588063265427303250e+00,1.557217466776362080e+00
1.885620654832127840e+01,2.301500481950246169e+01,2.394616090723248902e+01,1.141001133429131613e+02,2.600143295530747309e+02,1.938147460940559119e+00,1.174874737146614778e-01,7.967390624439166791e-01,1.736086774934817356e+01,4.235800071651199539e-01,1.539800198333773906e+00,1.612735475917192796e+00
1.674810815430512889e+01,3.312658110816524726e+01,2.175255523393995105e+01,9.229783780745972877e+01,3.234506174787932764e+02,2.412632582725799502e+00,-7.857370090061547435e-03,5.512334405535989079e-01,1.603379015615025338e+01,4.077806057148992136e-01,1.492572825409709480e+00,1.686898867354398313e+00
1.865290113474535616e+01,2.963743720907291745e+01,2.235957796723391056e+01,1.101992116254750442e+02,1.862722377390660995e+02,2.307550516523958706e+00,-6.328603363968713161e-03,6.049004064173244544e-01,1.640384177753486483e+01,4.737659414311956585e-01,3.890687430702038374e-01,1.436926080588035060e+00
