re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,salience_dB,refl,print_cost,step_ratio
8.908302646804276748e+00,2.836976688701884441e+01,2.679703054774891413e+01,1.550000000000000000e+02,1.457868215599294217e+02,2.353303565948956066e+00,1.522799052603284187e-01,3.483145295794476404e-01,3.313887385500608218e+01,9.316227659227697133e-01,5.406449051176823728e-01,9.048642213206447238e+00
2.000000000000000000e+01,2.909254984827082069e+01,2.154264897502881482e+01,1.550000000000000000e+02,5.800000000000000000e+02,1.637063097000326817e+00,-1.008604816310143797e-03,8.000000000000000444e-01,3.082342012719561097e+01,2.244506832149398834e-01,3.403037248823078453e+00,1.160214312153274863e+00
2.000000000000000000e+01,2.468390003190959447e+01,2.014486494783920278e+01,1.376945405516996175e+02,5.521801091408611910e+02,3.129768424279132155e+00,-6.904133590179236876e-03,7.253221606006903244e-01,2.958188101062654241e+01,1.454878969887279105e-01,2.937093846333021396e+00,1.014538959416701358e+00
8.000000000000000000e+00,2.837850059823607296e+01,2.757595653127317448e+01,1.457102336012696355e+02,1.419525114725891228e+02,2.645570839603277769e+00,1.366971320779289123e-01,4.193977986101433131e-01,3.229742962534851358e+01,9.586234252841392411e-01,4.853610516312170664e-01,1.188177154085418152e+01
1.105223718642797692e+01,3.488703825843315798e+01,1.226968641420871897e+01,6.000000000000000000e+01,1.204146808752144722e+02,4.000000000000000000e+00,-4.147044003353623359e-02,4.106343370001691584e-01,2.090981237661421233e+01,7.308299178373274252e-01,1.356616689511238594e-01,1.232442123240325316e+00
1.001373619320220421e+01,2.736253242835184452e+01,2.641356935474696499e+01,1.550000000000000000e+02,1.953604284925451680e+02,2.224641690790726045e+00,6.236184643989819976e-02,2.167345000756668305e-01,3.256615559670515125e+01,8.795247651474694672e-01,6.012717987434642586e-01,6.957639037886834465e+00
1.875931059348090102e+01,2.437068920185071619e+01,3.288826041573460657e+01,1.547485661669496437e+02,4.637295148081646516e+02,2.437454707643499141e+00,8.523565825227344406e-02,6.683465092620035630e-01,3.189747625414148757e+01,4.561783474387731130e-01,2.137608483925141467e+00,3.073605023211133602e+00
1.959923043965068246e+01,2.505377280453700095e+01,2.002906383159925596e+01,1.341814540301192835e+02,5.080547369813966725e+02,3.641866929920875240e+00,-4.496717629060815319e-02,8.000000000000000444e-01,2.923930992951446584e+01,2.153360709725682387e-01,2.807745310742690847e+00,1.044343247110141926e+00
1.762964320091792914e+01,3.819276620062958472e+01,1.892160612023480937e+01,6.000000000000000000e+01,1.979306838406834004e+02,2.552007068882014451e+00,-2.794021900820914048e-02,5.883512254352931681e-01,2.366662638331605706e+01,4.488364559931539710e-01,1.241751889175036982e+00,1.151937588480313135e+00
2.000000000000000000e+01,2.599656169033433173e+01,2.024140588327515999e+01,1.550000000000000000e+02,5.410477781452308363e+02,3.165184381629591037e+00,1.359929342867689100e-02,7.193895333727626795e-01,3.051890494130188713e+01,1.625186208476209759e-01,3.023790978838815313e+00,1.024286280328715826e+00
