re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,exit_deg
1.781881738219556865e+01,2.899255777270736800e+01,1.800201341028370550e+01,6.000000000000000000e+01,1.617316592127751846e+02,3.207161027556199695e+00,-1.544739695767321785e-01,5.772300624546802261e-01,1.027053731519976232e+01,6.394769372363727777e-01,1.900923915169036027e-01,3.956626039236111581e+01
1.907577125801035933e+01,1.311692903889900030e+01,2.007774251236998708e+01,1.547314539145890819e+02,5.644151385793145437e+02,1.097543756696007344e+00,-1.986354803387652690e-01,7.139241275122436559e-01,1.923437099693494545e+01,4.132866221706300025e-01,3.501814030296591440e+00,1.470413566223975543e+01
1.999990036490646617e+01,5.413513085146818327e+01,2.021387898600078614e+01,1.335206745277923517e+02,5.723311862674612485e+02,2.239068288675097662e+00,2.157938393968979185e-02,2.000000000000000111e-01,1.736472642133954380e+01,1.462010786780953697e-01,3.092129755226434185e+00,2.381269303913836666e+01
1.995264924011158314e+01,1.838332830578767130e+01,2.168814591302767525e+01,1.550000000000000000e+02,5.800000000000000000e+02,1.081566162043203327e+00,-1.383538778712813944e-01,7.851459455183930070e-01,1.914423699744671836e+01,3.572741501834527100e-01,3.595833362851473591e+00,1.422569692122965890e+01
1.754702447146065580e+01,4.543192806859300958e+01,1.791273740758873245e+01,6.629689116711483621e+01,1.856057650595001292e+02,2.255481527054358004e+00,-1.733476575348518248e-02,3.919557920734516032e-01,1.281110939141757576e+01,4.182384924233126799e-01,1.251123573659109312e+00,3.034170014536311655e+01
1.912604945253340105e+01,2.343159203959061898e+01,2.455632962972052979e+01,1.089501931308785743e+02,2.055584861921130937e+02,1.051025151437130267e+00,-2.660110225635451547e-02,4.513729806184607063e-01,1.571208334083741143e+01,5.521508603395576253e-01,4.968896700399515476e-01,2.333676356303310584e+01
1.948668555092736909e+01,5.238815869984366458e+01,2.073273493541301704e+01,1.241233432061774664e+02,5.012869644743722120e+02,3.132142598645208942e+00,1.843927384791909513e-02,2.026192303446669174e-01,1.544959174401114232e+01,2.136444645321255165e-01,2.824060224534141739e+00,3.266391367783900535e+01
1.981651531312660452e+01,2.534223521466415363e+01,2.416183608773312486e+01,1.550000000000000000e+02,4.933052461827257389e+02,1.046638173233704894e+00,-1.138217223188120047e-01,7.641323265192309089e-01,1.901678041102928063e+01,4.409151140403161917e-01,2.421695030911562796e+00,1.564533188072703318e+01
1.651122592535845257e+01,2.872872997643762361e+01,1.758456777063155840e+01,6.009452424879474108e+01,1.718468008938869787e+02,2.912802732440952447e+00,-1.171090925430793572e-01,5.099383664284864448e-01,1.106843625806179432e+01,5.817897749733409452e-01,1.986448034977660038e-01,3.558872163730539029e+01
1.781739535635453819e+01,2.899524567055161839e+01,1.813701070166559859e+01,6.000000000000000000e+01,1.619040375921303792e+02,3.111151969589797783e+00,-1.438734086913411869e-01,5.791428198443089315e-01,1.054795583095913436e+01,6.137362781271026302e-01,1.919420815250084955e-01,3.860357722128923541e+01
1.999447435901690540e+01,1.562719574410230550e+01,2.163934808455199033e+01,1.456793867467762595e+02,5.014830976434528793e+02,1.487822785036990059e+00,-1.571671812678833713e-01,7.754232311961138935e-01,1.846514255545677230e+01,2.629170100067375060e-01,2.169920891840445787e+00,2.040249698593158101e+01
1.911424779869572887e+01,2.402246180273179732e+01,2.464409797247793676e+01,1.069692726343129010e+02,1.996930833272701307e+02,1.041956759348399153e+00,-1.653476173880987984e-02,4.490487837523223780e-01,1.553421111926142117e+01,5.609116587472224857e-01,4.803150858002045442e-01,2.324308931274148904e+01
1.661153199609555742e+01,4.613346908120063006e+01,1.694572683678986635e+01,6.000000000000000000e+01,1.754318248812676302e+02,2.747594136297212053e+00,-1.962481585155943439e-02,4.389310375577588075e-01,1.201546124938158400e+01,4.608152607500832776e-01,2.139241206167187825e-01,3.382644200412006796e+01
