s0,d0_mm,d1_mm,Rf_rayl,phi,G_speech_dB,ripple_dB,refl
3.084317694556628631e-01,3.000000000000000000e+00,8.306163857496606795e+00,3.125841590578944107e+01,9.402531612341464839e-01,1.823242664268525814e+01,9.846407653931313675e+00,2.336839300332311520e-01
0.000000000000000000e+00,8.601494182572663405e+00,1.200000000000000000e+01,6.000000000000000000e+01,8.719720219984414822e-01,2.068040203732174476e+01,9.173825857513964621e+00,5.870169488146322889e-01
2.305454806100336318e-01,9.045937145058951856e+00,1.178052482250637922e+01,6.000000000000000000e+01,9.002466036088149215e-01,1.967182822671113485e+01,6.403591506012066503e+00,3.204757949096701530e-01
5.585205172073233823e-05,8.460775703904678480e+00,1.199996827333616700e+01,5.667374752744579780e+01,8.640857836816211446e-01,2.321698091676723763e+01,6.741517853993686060e+01,4.888235182822257552e-01
1.682576652947415097e-01,9.268624624489165242e+00,1.199144819354346936e+01,6.000000000000000000e+01,8.912697998134067046e-01,1.994684145038599254e+01,7.622732582631726928e+00,3.774330983146052532e-01
1.144538428531763873e-02,8.526522496311638832e+00,1.191568445572871937e+01,5.644646410773182765e+01,8.499999999999999778e-01,2.012409482350066625e+01,1.125839233518024685e+01,4.524056550333883098e-01
1.068076925180104345e-04,8.460239016570392678e+00,1.199983023490305634e+01,5.667296807795956681e+01,8.640387500948807364e-01,2.262881858249419409e+01,5.527777278539852546e+01,4.886185621042648530e-01
0.000000000000000000e+00,8.460014493723338802e+00,1.199996837191880239e+01,5.667291573013429939e+01,8.640742740234307329e-01,2.292040717453058818e+01,6.129512296824596262e+01,4.887133928930727511e-01
2.543935363031599728e-01,4.836660128052878704e+00,1.199999688214217919e+01,3.437744376565544258e+01,9.111069032993925898e-01,1.842443793807170138e+01,9.905486453737722741e+00,2.580359302832841428e-01
2.893713683001654102e-01,8.404698165626570017e+00,1.199992597257639027e+01,5.202892070763093813e+01,8.692196421454739808e-01,1.889522525484308701e+01,8.781536484414782961e+00,2.726543046223081634e-01
0.000000000000000000e+00,8.459962874457170656e+00,1.199996480631890705e+01,5.659904488820192370e+01,8.640357309599359104e-01,2.252093120102450641e+01,5.310640062563076924e+01,4.883389081935871623e-01
1.632598565225349676e-03,8.460494965126647671e+00,1.199668336223415288e+01,5.658892011020503077e+01,8.644182357060192778e-01,2.213105905525644346e+01,4.508036962629022071e+01,4.879555218020110718e-01
0.000000000000000000e+00,8.460121244415358177e+00,1.199999980716061820e+01,5.656083497654739745e+01,8.641754762199200801e-01,2.240200346281379495e+01,5.065176336477044572e+01,4.884553661813419989e-01
4.756269451329125421e-05,8.460062071191689625e+00,1.200000000000000000e+01,5.667292796705106639e+01,8.640892536057167561e-01,2.296199156825727528e+01,6.215314858942592480e+01,4.887233770856884707e-01
2.171297945127879936e-01,8.337641806467734895e+00,1.176944086977651516e+01,5.922019453362577224e+01,8.918676801808662624e-01,1.950228555285043086e+01,7.069321131911735279e+00,2.963304939347886080e-01
3.043701005212365914e-03,8.430854234976086659e+00,1.198248885019685694e+01,6.000000000000000000e+01,8.700524761343991775e-01,2.109279734997416966e+01,2.029026019956460658e+01,5.070994864394117174e-01
3.076428524016474458e-02,8.491556752131721453e+00,1.200000000000000000e+01,5.627205799730235469e+01,8.652445741652620148e-01,2.035741014454605846e+01,1.830887413145467590e+01,4.636621983934373081e-01
1.616736815099389657e-01,8.454295434915406915e+00,1.200000000000000000e+01,6.000000000000000000e+01,8.907883083097918320e-01,1.989275962886337012e+01,7.233772462063033259e+00,3.544822203065791100e-01
1.931684146882785627e-02,8.490437947638028504e+00,1.199995432882407798e+01,5.646423543808032974e+01,8.652908137481600814e-01,2.083839351204323265e+01,2.570972392431352205e+01,4.691196096928737513e-01
