rt,rm,L,k,H,G_dB,refl,Pcost,fc_Hz
1.329600775546198221e+01,6.554023954162917676e+01,3.000000000000000000e+02,1.735751086224781026e-01,5.305757994887124340e+01,1.382014950622187577e+01,5.271213595403843044e-01,2.089894104522681761e+00,2.902740869879820593e+02
2.445085772902828580e+01,1.230000000000000000e+02,4.104981674969534424e+02,1.560849134623683299e-01,1.930182629718896408e+02,1.662429532529222698e+01,1.700646980056013113e-01,2.794696683609986909e+00,2.148399857712922767e+02
1.722232137002193042e+01,1.197800012603546094e+02,6.595126706740157942e+02,1.234267222694926530e-01,1.999877199418159250e+02,1.787972067748326666e+01,3.415704395018985817e-01,3.397425896346630836e+00,1.605350229413913326e+02
1.363919975634261306e+01,5.000000000000000000e+01,3.000000000000000000e+02,1.903444857761686093e-01,5.614921261606636449e+01,1.211658512281900535e+01,5.040181419621443393e-01,2.018574167203047054e+00,2.363889817657694721e+02
1.694838308763287316e+01,5.000000000000000000e+01,3.000000000000000000e+02,2.139788443475174329e-01,6.458090954358812041e+01,1.210826966063403631e+01,4.678787004844214281e-01,2.043440075300507530e+00,1.968612665382040063e+02
1.986883581618291217e+01,1.178681917536058563e+02,6.598506817499206818e+02,1.214723338765748284e-01,1.994775629856363537e+02,1.776940972208462810e+01,2.779049775505106901e-01,3.413097288543942565e+00,1.472955778440749839e+02
2.269268235040341963e+01,1.195648709957801827e+02,4.798126630176308254e+02,1.399107734835326744e-01,1.993973604204446701e+02,1.699408110181246556e+01,1.920654007739311941e-01,2.972236382046774761e+00,1.890713089269734724e+02
2.213790610424813110e+01,1.230000000000000000e+02,5.060472832568099193e+02,1.376721720125943793e-01,2.000000000000000000e+02,1.718590695339119989e+01,2.005511235261198122e-01,3.053719661710625921e+00,1.849950822320898567e+02
1.576209813518260283e+01,1.162388256902747656e+02,6.413655922658142572e+02,1.214796803377964640e-01,1.908629973251782417e+02,1.762104333523545208e+01,3.682745633298965537e-01,3.277650959650165952e+00,1.700640402485861102e+02
1.960799860735935596e+01,6.947993771183388390e+01,3.002472619171355745e+02,1.524832504433995817e-01,8.567647970010499137e+01,1.411932777734058675e+01,3.858685839225646785e-01,2.151346517427668914e+00,2.300171473549596044e+02
