V1,V2,V3,V4,a_n,L_n,slot,cents,ring_err,neg_level
3.275094829782046872e+02,1.810984892810475912e+02,4.842154087477055668e+01,1.132929406568689217e+02,1.499229767139167002e+01,4.341068018980966770e+01,4.028601644874625798e+00,1.092993342523559249e+03,3.682539682539679449e-01,-3.497081560205028694e+01
3.087715198757979920e+02,1.628861082907270941e+02,4.000000000000000000e+01,1.200325552104147278e+02,1.499416174438407445e+01,4.562431217695326779e+01,4.014716495431795984e+00,1.194047331600524785e+03,4.865079365079365559e-01,-3.685106454940788723e+01
3.805414251656103488e+02,3.494196425456009933e+02,1.622279355662337537e+02,9.964772712606246330e+01,1.122462196402734946e+01,2.204005515481888366e+01,6.969843049310487260e+00,5.728874397056419099e+01,1.644230769230768940e+00,-4.188256110805569676e+01
3.843574596455703158e+02,3.500000000000000000e+02,1.622517385141165107e+02,9.962679071035927336e+01,1.137124717388837603e+01,2.189629655179772882e+01,6.547149868138975926e+00,2.508481757775750509e+01,1.591111111111110921e+00,-4.055218216953680610e+01
2.273097703794028064e+02,3.436418197586447718e+02,1.693209345996947377e+02,1.112979936128513572e+02,1.397256034592720475e+01,3.006217529990405879e+01,4.000800920098583902e+00,2.379546908933139662e+02,5.633986928104570691e-01,-2.842804932864960676e+01
3.190148188971587047e+02,1.729020746375844055e+02,6.223099528409673553e+01,1.097685102868943403e+02,1.491074044514817842e+01,4.210480372511614178e+01,4.815175223007653216e+00,8.889374571170809531e+02,9.133333333333329973e-01,-3.960613110253014213e+01
3.153059309437181241e+02,3.500000000000000000e+02,1.569963447871402877e+02,9.450958784799416890e+01,1.198920927052123453e+01,2.784770149858694310e+01,4.574215567350892186e+00,1.377006094081557421e+02,1.055026455026454757e+00,-3.748363478531157256e+01
3.000211831059740462e+02,1.946183284939497184e+02,4.026036052876425231e+01,1.214527787173846178e+02,1.489166435198478311e+01,4.636278313825719977e+01,4.421785545706787168e+00,6.824070823689672807e+02,5.440181869849385343e-01,-3.562913858645077880e+01
2.252416976342996691e+02,3.488084946862693414e+02,1.589434609096967961e+02,1.017111539227474708e+02,1.416145738947164467e+01,2.994108311248205467e+01,4.000000000000000000e+00,4.039196741922779097e+02,5.887955182072828197e-01,-3.166175183777232149e+01
2.555848618965219430e+02,3.236202683050858013e+02,1.797969664062805180e+02,1.240138051557084253e+02,1.302236899213397336e+01,2.821630235978695822e+01,4.000000000000000000e+00,2.853651725954363201e+02,6.113289760348579183e-01,-3.304758954661069481e+01
2.996305171493522153e+02,3.497092321765272800e+02,1.622900964403592354e+02,1.044249414571442856e+02,1.222329342049036427e+01,2.845119997065949136e+01,4.000000000000000000e+00,4.480009168308932885e+02,6.460595934280144448e-01,-3.461381705912519635e+01
2.319903223780290489e+02,3.500000000000000000e+02,1.649143437631971096e+02,1.272208327504098122e+02,1.395857029009391503e+01,3.275523890112606296e+01,4.000000000000000000e+00,3.375012008742379521e+02,5.348739495798318089e-01,-2.868421784352134907e+01
3.586606922162979458e+02,3.428352145563589488e+02,1.629485447359450063e+02,1.005510872798929967e+02,1.149546164207372279e+01,2.271516216296545210e+01,4.810975667628127006e+00,1.043865412173063163e+02,1.190389016018306156e+00,-3.913082236905191280e+01
3.680110857727258349e+02,3.499780110745298884e+02,1.679000335713679988e+02,1.020769720975318791e+02,1.143275767445428137e+01,2.201261180182521215e+01,6.222466707310934098e+00,4.611129784060336334e+01,1.473298059964726292e+00,-4.140457884003875932e+01
2.306389706949489096e+02,1.795013578158991265e+02,4.000000000000000000e+01,1.157487437905712682e+02,1.499089146589982668e+01,4.272902805582526042e+01,4.002761651307187307e+00,5.917340521294413520e+02,5.440181869849385343e-01,-3.342648879946598584e+01
1.838431232553832047e+02,3.259141714620671451e+02,1.829749944518272571e+02,1.135233829198309650e+02,1.346985620289935248e+01,3.047923893049827981e+01,4.000000000000000000e+00,1.414062237108389013e+02,6.941798941798937861e-01,-3.791408231300133735e+01
3.628025295122727130e+02,3.461290132244550364e+02,1.677011637441510743e+02,1.021922179214943185e+02,1.150027468289051491e+01,2.189756722180248261e+01,5.410000976682011853e+00,8.050974000397671659e+01,1.343906142167011541e+00,-3.984367679709953336e+01
1.872191939318095422e+02,3.498129847163783097e+02,1.642407787079371815e+02,1.075568894793026260e+02,1.412556444085437235e+01,3.484414981628520280e+01,4.000645527662681111e+00,2.339096846864558756e+02,5.983193277310919767e-01,-2.935996092308417715e+01
2.067475132468605921e+02,3.295514406618617045e+02,1.829141941138645109e+02,1.159418967212664882e+02,1.346095726578542973e+01,3.060068924937145596e+01,4.000000000000000000e+00,1.984932367027380167e+02,6.462496109554930479e-01,-3.619807250081957761e+01
3.222087493752550813e+02,1.939929647452695747e+02,4.321438040781040257e+01,1.048785396797738372e+02,1.500000000000000000e+01,4.313606818365064299e+01,4.376507872990399228e+00,5.231900798292347190e+02,6.662404092071607664e-01,-3.784779348213425010e+01
