re,Le,rt,ra,rb,rm,L,G_dB,refl,Pcost
1.766192490047466634e+01,2.645581857217341692e+01,2.061609607348817974e+01,4.990498334482968090e+01,1.250906114666019988e+02,1.550000000000000000e+02,6.000000000000000000e+02,2.005813832979877276e+01,3.935650143406048684e-01,3.682506878695861019e+00
1.385722299706514349e+01,1.000000000000000000e+01,1.452854230942943126e+01,1.300000000000000000e+01,1.300000000000000000e+01,6.000000000000000000e+01,2.000000000000000000e+02,8.577550823410319936e+00,6.976814175897357861e-01,1.660919572072320494e-01
1.999720878577511129e+01,2.366929472891452590e+01,2.044828380938033519e+01,3.141890461533049717e+01,6.812528321157464006e+01,1.550000000000000000e+02,5.919036221607609605e+02,1.667128520762140909e+01,1.471481599082052061e-01,3.212081607226995317e+00
1.983305160562849068e+01,2.727812761680459275e+01,2.007298351903926203e+01,6.704464236189605231e+01,1.402767782851361460e+02,1.544110293619779100e+02,6.000000000000000000e+02,1.958220942724735991e+01,3.189385465550655940e-01,3.882059756627568969e+00
1.986000890807495622e+01,2.311725756156276290e+01,2.424585607002408949e+01,4.598973532988576807e+01,1.166761093765883857e+02,1.305954538444832451e+02,2.013536433283603060e+02,1.724339623166181212e+01,5.584568011119043218e-01,6.237484354862985469e-01
2.000000000000000000e+01,2.585111609600196658e+01,2.045660774602352205e+01,2.672988356271655874e+01,4.223893947681487049e+01,7.057325277876823577e+01,2.072822645288252943e+02,1.356873567699705418e+01,3.756650588889776099e-01,1.297042315099996790e+00
1.998271785496217134e+01,1.901922933244558678e+01,2.015303522811302273e+01,2.403537769312577055e+01,4.280966532049497886e+01,1.053577666887160973e+02,5.614445912377284458e+02,1.559537987579519935e+01,2.314944410614326598e-01,2.787156536062867396e+00
1.913602960348347537e+01,2.139319272886923073e+01,2.208393350236820396e+01,5.228891433413192402e+01,1.308224385986660252e+02,1.548674595497011524e+02,4.897218344752243411e+02,1.986891956540092963e+01,3.961136998009582300e-01,2.448589428976640114e+00
1.341785910917767666e+01,1.014391127167734297e+01,1.361064839040020580e+01,1.315326440761073812e+01,1.867253685369997740e+01,6.035323611949270628e+01,2.000217640422322347e+02,1.036035480453333690e+01,5.876192483045467041e-01,1.772952747863140721e-01
1.295429581356040671e+01,1.000000000000000000e+01,1.445863574873823154e+01,1.300000000000000178e+01,1.418516748540901595e+01,6.000000000000000000e+01,2.000222821620352249e+02,9.044450742482160521e+00,6.916857163718931334e-01,1.680552450720224356e-01
1.994155823291196583e+01,2.233410559180702748e+01,2.049221519262058422e+01,3.120942671103264487e+01,6.911750732562977362e+01,1.452103784544485450e+02,5.916105664334545509e+02,1.705499671544716378e+01,1.688061437725393577e-01,3.175246487298184483e+00
1.918580159640627159e+01,3.739752883258368854e+01,1.995618352209250901e+01,4.321711506021735971e+01,1.005810024088393533e+02,1.549832999078972477e+02,6.000000000000000000e+02,1.906984099361251594e+01,2.763143422447034148e-01,3.495148699383206825e+00
1.303062353707353971e+01,1.064125781246261582e+01,1.358005874211882968e+01,1.375194199438058362e+01,1.656694791058397698e+01,6.000000000000000000e+01,2.028371151182275298e+02,9.954052822880838036e+00,6.434595934294010666e-01,1.753711509025283610e-01
1.339316085129020806e+01,1.000000000000000000e+01,1.445857054297929167e+01,1.300000000000000000e+01,1.471091725051603127e+01,6.000000000000000000e+01,2.000221982976334232e+02,9.252658272810210249e+00,6.700351639196523434e-01,1.693900610881220459e-01
1.341595681238453963e+01,1.227723947691023199e+01,1.561521239783185955e+01,1.662950718553539176e+01,2.237807273741632486e+01,6.000000000000000000e+01,2.000000000000000000e+02,1.139115607705506328e+01,6.103968537405994876e-01,1.948972765348280789e-01
2.000000000000000000e+01,2.246695484258187037e+01,2.095247709033332129e+01,2.345118408830126455e+01,4.216147023760206025e+01,6.727042993157637341e+01,2.004402795894401379e+02,1.331619372916665966e+01,4.121689730610818003e-01,2.757337720388703395e-01
1.988189565141458104e+01,2.219356310321089865e+01,2.094366855515426096e+01,2.979500734184336608e+01,4.640734807615694280e+01,7.110702345461453433e+01,2.064862751771008504e+02,1.390857112026482234e+01,3.820813739484746896e-01,3.096815604301506597e-01
1.908342077367899492e+01,3.867682734026665514e+01,1.978943435621407687e+01,4.321880137544725642e+01,1.001227382987689509e+02,1.550000000000000000e+02,5.393241999787313716e+02,1.858937807921018859e+01,2.856849805125489250e-01,3.357038208523622558e+00
1.987566971723222053e+01,2.242622842193361166e+01,2.031653935587666737e+01,3.039016380118062699e+01,7.626975091841748622e+01,1.411472452148255741e+02,4.929299864822660879e+02,1.724699725231956648e+01,2.392504889866816364e-01,2.018260742567439259e+00
1.913110464453273352e+01,3.867396401756496971e+01,1.977112968017567951e+01,4.399723546228162974e+01,1.056338368093848175e+02,1.542281172008970600e+02,5.534028391736352432e+02,1.892813596373327556e+01,2.900946320302171255e-01,3.420292099759396187e+00
1.689363932784505096e+01,4.318665240659071713e+01,1.822581520108414921e+01,3.589883588689251326e+01,1.113118087795801330e+02,1.350583559927794113e+02,2.421946335147527236e+02,1.707683207851306406e+01,5.270622889179555903e-01,1.681119086217463643e+00
1.898854341279388791e+01,2.657372160041762399e+01,2.083459801428092817e+01,4.634573917335822557e+01,9.240429812862006997e+01,1.359232710618396425e+02,5.675108359508313924e+02,1.852986818881741726e+01,2.968776094357391537e-01,3.322123812052072189e+00
1.970053159696174561e+01,1.688152854795136548e+01,2.077911949673563896e+01,3.803317662538240995e+01,9.242054063720233614e+01,1.535549025698562104e+02,5.330654931405690604e+02,1.816482294550476695e+01,2.517414618523456382e-01,3.260239696067606996e+00
1.998596114800520951e+01,2.671031723554779447e+01,2.095842216914664036e+01,3.047794853272572624e+01,6.771932477523598948e+01,1.429706885101619207e+02,5.710603126410451296e+02,1.678680231686839974e+01,1.737999708410757627e-01,3.123106477676164339e+00
1.290461635950274122e+01,1.000000000000000000e+01,1.399349855945359522e+01,1.302008377261993388e+01,1.974924003090140445e+01,6.043161781712836245e+01,2.042790177679708563e+02,1.064899418985077162e+01,5.964046912712939186e-01,1.819198470718167704e-01
